상호명,지점명,도로명주소,경도,위도,광역시도,시군구,ID,브랜드명,빽다방 매장수
빽다방,광주첨단로데오점,광주광역시 광산구 첨단중앙로106번길 11,126.84367742458599,35.214992048903206,광주광역시,광산구,광주 광산,빽다방,1
빽다방,광주충장로점1호점,광주광역시 동구 중앙로160번길 15-6,126.915110370877,35.1474994334624,광주광역시,동구,광주 동구,빽다방,1
빽다방,전남대후문점,광주광역시 북구 우치로90번길 16,126.91353208625601,35.1754103225278,광주광역시,북구,광주 북구,빽다방,1
빽다방전남대후문,,광주광역시 북구 우치로90번길 16,126.91353208625601,35.1754103225278,광주광역시,북구,광주 북구,빽다방,1
빽다방광주첨단점,광주첨단점,광주광역시 광산구 첨단중앙로152번길 31-9,126.843739933218,35.219878090966795,광주광역시,광산구,광주 광산,빽다방,1
빽다방광주충장로2호점,광주충장로2호점,광주광역시 동구 금남로 246,126.918430335784,35.147898684124996,50956,광주광역시,광주광역,빽다방,1
빽다방광주구시청점,광주구시청점,광주광역시 동구 백서로125번길 45,126.916804199862,35.1455585680059,광주광역시,동구,광주 동구,빽다방,1
빽다방,광주상무메가점,광주광역시 서구 시청로60번길 21-6,126.85442685324301,35.1542060577564,광주광역시,서구,광주 서구,빽다방,1
신쭈꾸미빽다방,,광주광역시 동구 백서로125번길 45,126.916804199862,35.1455585680059,광주광역시,동구,광주 동구,빽다방,1
빽다방,,광주광역시 서구 죽봉대로 95,126.883142321581,35.16192863387,광주광역시,서구,광주 서구,빽다방,1
빽다방,봉선쌍용점,광주광역시 남구 봉선로 172,126.913911806849,35.1228896860916,광주광역시,남구,광주 남구,빽다방,1
빽다방,대구월성원더풀점,대구광역시 달서구 조암로 48,128.524339185145,35.8243922111985,대구광역시,달서구,대구 달서,빽다방,1
